Potencia,Maximo,DesvioPadrao,Curtose,Assimetria,Classe,CN0_NMEA
5562558.0,16418.602,1095.4641,0.6521622058748253,0.6751469467457742,0,42.42857142857143
5621641.0,20355.715,1101.1035,0.4267784797321408,0.6511040614829573,0,42.57142857142857
5570114.5,10024.897,1094.0686,0.2496704214817962,0.6330349137361017,0,42.54652161465788
5543968.0,9428.572,1090.1854,0.250171220382724,0.630438252977063,0,42.57142857142857
5526173.5,9355.85,1088.7203,0.2516222120028089,0.6309976618758059,0,42.57142857142857
5527284.5,24651.299,1089.0916,0.5799054655574731,0.6502900053477298,0,42.71428571428572
5538866.5,14716.539,1089.9485,0.2507061473425578,0.6287405005797954,0,42.71428571428572
5530764.0,16287.386,1089.3518,0.2944444284914032,0.6340761472803482,0,42.7452046951045
5531442.5,9060.66,1089.2026,0.2172930773576888,0.6233238906224462,0,42.489264242771256
5536249.0,10525.369,1089.5574,0.2410746032304995,0.6289977988607585,0,42.62381906670484
5538363.5,9053.762,1090.0643,0.2478844743939348,0.6332133418899946,0,42.42857142857143
5542213.5,11743.747,1090.4182,0.2369879942170136,0.6279513042454198,0,42.71428571428572
5563908.0,25441.693,1094.3813,1.3059098030970588,0.7020906146995011,0,42.46550243343831
5543502.5,8809.77,1092.1786,0.2353713562331889,0.6279836012681205,0,42.285714285714285
5525781.5,9345.021,1088.4518,0.2440604738867668,0.628616119184974,0,42.57142857142857
5530576.5,9122.363,1089.3634,0.2509573902312483,0.6323032815007079,0,42.6810764385915
5547961.5,9145.151,1090.4879,0.2401075899635367,0.6283909728794705,0,42.42857142857143
5560212.5,11583.569,1092.4211,0.2451266962105771,0.6283059031903743,0,42.42857142857143
5547397.5,9037.827,1090.2958,0.2294677520175518,0.6275142790798383,0,42.49871170913256
5541404.0,12555.227,1090.2949,0.2536663969871719,0.6322330010490169,0,42.57142857142857
5539539.0,8754.302,1089.9424,0.2472981613932865,0.6319325732475841,0,42.56083595762954
5536468.0,10571.311,1089.2124,0.2405496021895126,0.6291637631654395,0,42.552247351846546
5536361.5,9127.166,1089.775,0.2465155565670875,0.6300036505530258,0,42.57142857142857
5536115.0,8282.725,1089.6809,0.2400075660397447,0.6292753348112298,0,42.57142857142857
5535957.5,8790.741,1089.2622,0.2525705984975857,0.6322646849916083,0,42.32006870884626
5535955.0,9424.049,1089.6423,0.2492054644443562,0.6302989338166053,0,42.285714285714285
5534745.0,10024.941,1089.2013,0.2231283188991026,0.6249148332810309,0,42.42857142857143
5536857.0,8800.745,1090.3824,0.2389800872386218,0.6303395069932196,0,42.62639564843975
5532514.0,8759.262,1089.5049,0.2425536087950983,0.6300812745658606,0,42.57142857142857
5531584.5,9320.499,1089.883,0.2458396339251374,0.6318194373019635,0,42.599770970512445
5531298.5,8890.522,1089.4268,0.2439416900212978,0.631471128957898,0,42.430002862868605
5524832.0,9544.992,1088.7495,0.2354827527419143,0.6273988779145007,0,42.54022330375036
5538968.0,8236.587,1090.3042,0.2460679374867282,0.632208748395478,0,42.57142857142857
5534765.0,8630.428,1090.3456,0.2475640803606875,0.6314163135678471,0,42.57142857142857
5527368.0,8870.548,1088.5632,0.2351098375365952,0.6275927947366596,0,42.285714285714285
5521307.5,8673.515,1088.7905,0.2329250429802822,0.6277773626274035,0,42.42857142857143
5535596.0,8706.56,1088.9841,0.2352520233179222,0.6278347007444111,0,42.391354136845116
5529284.5,9183.265,1088.6179,0.2246198167215691,0.6260523376198258,0,42.285714285714285
5544963.5,10963.855,1089.9025,0.2476478225832585,0.6297427124351684,0,42.47466361294016
5531963.0,11156.697,1089.552,0.2705797393591322,0.6354406223419936,0,42.142857142857146
5539563.0,18546.21,1090.4392,0.3158349276982748,0.636194916247424,0,42.58488405382194
5532633.0,8857.06,1089.7247,0.2439952678889305,0.6282034068198714,0,42.57142857142857
5526262.5,8441.026,1088.0448,0.2376057881753155,0.6272779864527394,0,42.285714285714285
5531488.5,9680.314,1090.069,0.2507160571826565,0.6325558008507315,0,42.57142857142857
5534022.5,8893.692,1088.2712,0.2332826583632941,0.627091431693189,0,42.41826510163183
5561808.5,8477.854,1092.6382,0.2266812943216276,0.6257514582823595,0,42.57142857142857
5547028.0,8664.928,1089.8845,0.2543841030879887,0.6319099806608295,0,42.57142857142857
5535948.0,8746.8545,1089.6775,0.2526903271440672,0.6337779851459535,0,42.65044374463212
5538195.5,10346.605,1089.671,0.2495175332118795,0.6308754394134702,0,42.57142857142857
5528400.0,11007.063,1089.5548,0.2555953697804263,0.6334437245963938,0,42.57142857142857
5543180.5,9356.673,1090.709,0.2421010327992521,0.6304654181076005,0,42.85714285714285
5532738.0,8982.668,1089.2087,0.2310997901212865,0.6263031770403099,0,42.57142857142857
5546741.5,9216.384,1090.3159,0.2407080693480154,0.6286466098724532,0,42.62925851703407
5560437.5,9411.959,1093.6023,0.254100083216231,0.6352067822687295,0,42.57142857142857
5569469.5,11088.739,1093.0214,0.2757107855736049,0.6357943125121696,0,42.57142857142857
5606919.0,9235.028,1097.8064,0.2624069555859223,0.6344764957837402,0,42.71428571428572
5618190.5,8995.95,1099.8811,0.2715056464325163,0.6380618004705213,0,42.85714285714285
5609830.5,10875.797,1099.3678,0.2816017554828245,0.6417297108674713,0,42.57142857142857
