Potencia,Maximo,DesvioPadrao,Curtose,Assimetria,Classe
5613638.5,9020.052,1098.0144,0.268284081594675,0.6356838709812758,0
5611688.0,9603.483,1098.8601,0.28612568585417186,0.6417077593832428,0
5589090.5,8749.94,1094.9462,0.25787977480046775,0.6336834737919907,0
5593152.0,9374.919,1096.0654,0.25251419163302247,0.6325049715689819,0
5617476.5,9579.052,1099.823,0.2711665590427419,0.6380133637121855,0
5596827.0,9159.63,1096.3467,0.24782581862139175,0.6305015327506561,0
5527499.5,9134.296,1088.5758,0.22965483210378945,0.6266417779133553,0
5537645.5,11642.136,1089.9589,0.24565626323992618,0.6291990489197954,0
5587507.0,11549.174,1095.1808,0.25982833614708234,0.6345781223304173,0
5567180.5,9786.166,1093.632,0.23713278089347645,0.6302847084801756,0
5537431.5,9020.642,1090.346,0.2366426822216865,0.6305667514440355,0
5563276.5,9177.209,1092.4343,0.24793523333796985,0.6301896617480637,0
5588858.5,10710.825,1095.5444,0.24582447872669055,0.6300622700604338,0
5585561.0,9449.605,1094.8744,0.2636377585618592,0.6355630844381605,0
5607005.5,9621.387,1097.9161,0.267215581904491,0.6379666962010407,0
5605232.0,8543.553,1097.5284,0.2613188245298499,0.6375435448465558,0
5603963.0,8836.325,1097.052,0.26201949959818016,0.6365426925837756,0
5606730.0,8829.488,1097.8118,0.2665870974414224,0.6361373679711377,0
5604471.0,8804.88,1096.2139,0.2406852482999744,0.6300817804763481,0
5582227.0,9034.593,1094.5659,0.2649992954856555,0.6352496813460133,0
5583403.0,11263.401,1094.8743,0.25253864578323837,0.6326473732326657,0
5594471.5,9450.212,1096.7787,0.2600542155328709,0.6360351309664488,0
5594986.5,9747.255,1096.1953,0.2634669834011305,0.6357870395498385,0
5606396.0,9615.968,1097.5391,0.2694912848984887,0.6376333303964837,0
5594086.0,10313.613,1095.3823,0.256395512977583,0.6344859422224047,0
5591960.0,9312.734,1096.8793,0.2671637371671238,0.6369775787769466,0
5607889.0,9286.771,1098.495,0.2728167824997656,0.6363190262900851,0
5585174.0,10047.19,1096.139,0.24590401869453382,0.6319111907391577,0
5598903.0,10436.693,1097.124,0.270106415809106,0.6364084907752954,0
5614009.5,9389.468,1098.4985,0.25614944267851136,0.6326421436170276,0
5595842.0,11677.91,1095.7881,0.2527383740314453,0.6316740305181364,0
5599064.0,8732.247,1097.2848,0.26063777423433887,0.6354248299053264,0
5580555.5,8967.601,1095.8003,0.26366595585354347,0.6373547414469991,0
5580703.5,9153.055,1092.987,0.2556075045320103,0.6307676842421441,0
5592693.0,9550.423,1096.3201,0.23786464055827405,0.6320824721959016,0
5599918.0,10094.968,1096.7351,0.2592021630830903,0.6336986232291413,0
5597963.5,8790.065,1096.3242,0.2465201719550354,0.6313839369726314,0
5601076.0,9178.638,1096.8225,0.2688612728172277,0.6373356127286481,0
5598233.5,10218.9375,1097.1904,0.25258416922555416,0.6334490291505709,0
5588499.0,10525.538,1096.493,0.27100911068608324,0.6378663621827898,0
5589179.0,9427.947,1096.8228,0.24769509846068827,0.6342330968233729,0
5583908.5,8708.153,1095.9303,0.2646086830393526,0.6379149395832118,0
5580465.5,9753.053,1094.7098,0.23795581549983957,0.6306017848020962,0
5542537.0,18750.6,1091.6544,0.5278090826223325,0.6551129147908028,0
5546136.5,9857.241,1089.8824,0.22975857977433378,0.6274656908194222,0
5542524.5,9251.79,1090.3365,0.25449135113639576,0.6318232383134964,0
5531437.5,9701.843,1089.9357,0.25102216504755237,0.6300687783980811,0
5612992.5,8982.529,1097.3605,0.2762405862159736,0.6369076787882326,0
5593422.5,9581.87,1095.896,0.25784036876625294,0.634179409531024,0
5607771.5,10501.539,1099.0704,0.26786045527257407,0.6383479654330696,0
5595026.0,9954.527,1095.6938,0.25362973343007056,0.6331228724516728,0
5603241.5,10641.385,1096.9993,0.25615698011088917,0.6325744438588324,0
5613224.0,9924.677,1099.1345,0.2688330731130977,0.6391081152758382,0
5566635.5,9673.556,1093.0908,0.25781050249099646,0.6313007684528198,0
5576760.0,9432.852,1094.8052,0.25298477283186616,0.6318846973757577,0
5539056.5,12627.74,1088.7146,0.24950205638906686,0.6295766300295697,0
5529049.0,8646.398,1089.1412,0.24294128276115545,0.6297999861163892,0
5598635.0,9272.461,1097.1151,0.2504610757466956,0.6339518832857589,0
5609603.5,10506.486,1097.5431,0.2643428585625829,0.6346591260567448,0
5537574.5,9646.46,1088.6902,0.23269333729262165,0.625486673792213,0
5531132.0,8503.156,1088.334,0.22678701467515738,0.6245419882882265,0
5532992.5,12053.627,1088.5619,0.2656393426072774,0.6331839589388054,0
5562000.0,9439.998,1092.3676,0.2443583225899979,0.6317887063295294,0
5618350.0,9412.0625,1099.2578,0.2637178719078186,0.6367353632034186,0
5600728.5,9259.338,1096.7349,0.26463793107580047,0.6353662361959379,0
5581951.5,9745.837,1094.1498,0.24993604981470652,0.6318667109516564,0
5532281.5,19903.543,1089.3837,0.3256649908571898,0.6373487761670505,0
5572979.0,9567.249,1093.0167,0.2593816830662825,0.6328378256380311,0
5588745.0,8954.021,1095.9445,0.278735928669092,0.6383830036475593,0
5607598.5,10634.942,1098.4901,0.2661756585113757,0.636532103300279,0
5600600.0,10663.708,1096.7662,0.26107660502149876,0.6344224174741336,0
5600135.5,9946.483,1097.0736,0.2626683050186198,0.6347491375393411,0
5675620.5,25810.45,1119.9574,7.85142331719007,1.132491219207546,0
5602056.5,20423.941,1096.8439,0.5002081017564532,0.6513072818077751,0
5595086.5,11947.182,1096.819,0.2797978332733235,0.6396090804719996,0
5586752.0,9348.042,1094.0615,0.25700959615573105,0.6326433365988438,0
5618140.0,9167.454,1097.9724,0.2550661149999853,0.6322505177576927,0
5597047.5,9128.83,1096.454,0.248294982044873,0.6325926021359359,0
5584592.5,8685.315,1094.522,0.24911347388206195,0.6328482181987404,0
5589832.5,10767.801,1095.3618,0.2576967416327589,0.6320262270816253,0
5613245.0,9577.614,1097.8658,0.256542009216826,0.6350347515515737,0
5585193.0,11932.396,1095.3878,0.2447747428712077,0.6311917624791705,0
5598689.0,9125.462,1096.7441,0.25417020647471134,0.6352389457980258,0
5603678.5,10941.87,1097.537,0.25377083258449407,0.6342766670303669,0
5602296.0,8809.831,1097.0892,0.27536670690150444,0.6396743450442633,0
5584398.5,8698.397,1096.0205,0.2482445019288657,0.6322675810822231,0
5589086.0,8811.87,1094.5397,0.24895297151667428,0.6309910443161243,0
5593203.5,9313.837,1096.6353,0.28593217667031956,0.6397601781013799,0
5605767.5,9491.641,1097.9955,0.2779916028301437,0.6393658088592059,0
5602168.5,8728.395,1096.1318,0.2359036846469773,0.6290261394315716,0
5591755.5,12794.619,1096.7095,0.2553240000181316,0.6337634089116536,0
5585489.5,10580.675,1095.5264,0.24888950853898395,0.6321687097944948,0
5605744.0,8829.42,1097.7549,0.2600308571251917,0.6354337727186637,0
5584233.5,9539.972,1094.9109,0.26575392393719,0.6362264959288019,0
5837574.0,33031.125,1171.8589,26.10542282135732,2.1881244438475402,0
5586885.0,10218.865,1094.6494,0.2588490213260215,0.632114051398178,0
5599231.5,9763.912,1097.0938,0.2559669534805491,0.6347630857032028,0
5591596.5,9081.732,1096.3002,0.2667596579147893,0.6374595347812518,0
5598906.5,9470.981,1097.8605,0.28754722258444687,0.6428845705595475,0
5545481.0,8975.404,1092.0,0.25611312733495506,0.6347051163573142,0
5588879.0,10191.164,1095.6842,0.24575769423095162,0.6321707721110952,0
5581486.0,10689.55,1094.2666,0.2498650343434079,0.6326554762935281,0
5605176.0,9365.215,1097.1346,0.2632963348371917,0.6360015818327562,0
5556126.5,10022.693,1091.0948,0.2475142313471821,0.6318548731527516,0
5540923.5,8662.062,1091.1151,0.2416947510385845,0.6291730465950189,0
5528073.5,10212.31,1088.2601,0.245970632707043,0.6274617684549884,0
5532570.5,8585.683,1089.6572,0.24629199720526396,0.632208329131946,0
5528233.0,10923.137,1088.0538,0.24546767400549507,0.6270348297592683,0
5533325.0,8289.154,1089.068,0.235692531273342,0.6305981424845233,0
5529702.0,8380.828,1089.1709,0.225259128631226,0.6281661024657607,0
5527879.5,9330.662,1089.8928,0.24554583578729394,0.6321992440423848,0
5537837.5,9032.167,1089.0659,0.23878473417973245,0.6300931807759101,0
5538444.5,8961.719,1089.6823,0.24770644497972683,0.6304164842368271,0
5526714.5,14044.176,1088.8025,0.27601589623787204,0.6370748898392687,0
5534500.5,8985.548,1089.639,0.25804791400557114,0.6344094366671459,0
5542177.5,11331.347,1090.2365,0.2317909594020513,0.6281405891237095,0
5520147.5,13026.933,1089.0194,0.27978460590697507,0.6348494805253657,0
5537716.0,10687.533,1089.7588,0.25147434699154303,0.6324792580276635,0
5525645.0,10139.261,1088.0442,0.24897618475795547,0.6294683262092522,0
