Potencia,Maximo,DesvioPadrao,Curtose,Assimetria
714825.44,3300.1704,391.83932,0.24683912235650896,0.6320133403908027
717229.9,3833.028,392.4366,0.2613935230381599,0.6360917546322855
714516.44,3642.2422,391.64743,0.2658534772836201,0.6365335881156352
716410.25,3617.3838,392.38953,0.2665636799644542,0.6351668625786345
716127.7,3341.839,392.17297,0.2683539895125069,0.6359848197398699
714202.7,3448.322,391.7467,0.2646008794102843,0.63393350817703
717101.25,3281.9604,392.38422,0.2584064723119832,0.6333733884356134
718830.8,3546.4277,392.93466,0.25639666296397623,0.6329240825683847
716416.44,3365.988,392.21136,0.2509306435202556,0.6326914539129049
714373.6,3508.988,391.9903,0.26876890073191984,0.6380402915317358
713967.75,3265.353,391.2258,0.252736040798033,0.6326840702111204
714355.6,3296.3987,391.04428,0.24758039401019882,0.6310097366159451
715679.6,3190.808,392.07858,0.24215037762212477,0.6313514234755919
716784.25,3790.5884,392.36502,0.28074570131409793,0.6377924967253982
715198.75,3111.5696,391.52054,0.24840065926117427,0.6318748408044387
717128.8,3302.0735,392.45724,0.25591016317534754,0.6345128362554598
714794.06,3336.777,391.9198,0.265344528740699,0.6352536737217859
714707.44,3770.2686,391.9047,0.25993034148811134,0.6341937579608694
713346.1,3298.8164,391.41443,0.2503051550193396,0.6329740986255473
715188.1,3206.969,392.1275,0.25263729767502463,0.6345326437510418
710827.0,3183.902,390.45038,0.23734483592328948,0.6289076452326038
709273.6,5788.684,390.77472,0.4598542208719034,0.6500563034589536
709295.75,3164.926,389.5125,0.23104893364766665,0.6238974653091015
708327.44,3236.6929,389.66934,0.2456871093286832,0.6305858974263565
709781.4,3162.9702,390.35696,0.2558587143299058,0.632733174860805
716804.4,3237.9062,392.39105,0.26729115936643355,0.6361259049548549
716275.94,4074.455,392.5893,0.2616767912821092,0.6354699446636747
717840.1,3505.3223,392.95367,0.26529406111477405,0.6368087751582958
712907.0,3982.6606,391.10275,0.25884720737498634,0.6342654562291133
717699.0,3237.88,392.84918,0.2648636764597079,0.6353615379782851
716129.94,4027.3674,392.39456,0.27147161131306285,0.6367735971427493
714215.0,3534.34,391.10663,0.2524808073790794,0.6301055885159504
708819.2,4252.7266,389.9788,0.248814137598369,0.6308149548656353
707924.9,3099.3186,389.33994,0.24027895451937242,0.6276042363568565
710263.9,3171.171,389.96173,0.2521233647433103,0.631783800974018
717486.8,3178.9756,392.6763,0.26467368362512733,0.6386821976572798
712677.6,3513.6143,390.93613,0.25738331646858104,0.6305934203850702
708503.25,3299.2673,389.85095,0.2313971033978488,0.6279674271479693
708319.25,3445.4497,389.29218,0.2171658991137404,0.619838757102352
707048.0,4563.7065,389.50327,0.2585412037319137,0.6315942233711094
714395.9,3900.1726,391.6561,0.256625549493501,0.6335613825511586
717917.4,3320.7207,392.78595,0.2679127360671987,0.6375817869589953
716537.06,3231.206,392.55948,0.24717448546350873,0.6339221785010615
709865.1,3070.4268,390.27673,0.24211842171314313,0.6301735037554765
707858.4,6759.508,389.48337,0.3251217060323097,0.6370169071208018
712822.2,3506.0078,391.14636,0.27407116849889546,0.6363867441885924
715373.1,3564.1619,392.23877,0.26756951007856555,0.6375703663697307
716749.6,3844.5747,392.66785,0.2541089636861411,0.6338077859249105
717148.3,3847.8762,392.39197,0.2589951256165124,0.6349650905398019
716529.9,3308.6191,392.35843,0.25322636188449943,0.6331476810522577
724881.06,8724.609,400.59055,7.750037828001668,1.1343501884586489
715974.3,3304.752,391.714,0.24534511279500926,0.6312278061067234
713841.8,4119.7188,391.665,0.2756145894885833,0.6374798332652609
715886.6,3461.0388,391.73108,0.2589123732475578,0.6322212720581816
717525.6,3145.9944,392.81656,0.25435475828887366,0.633453109882594
715945.1,3307.8628,392.0417,0.2533428395528112,0.6302838770891473
714260.3,3304.0813,391.53955,0.26668185740687944,0.6369390575988487
716667.9,3507.9866,392.63168,0.25649237630994115,0.6366451516861044
715992.4,3437.497,392.0568,0.24161708704258356,0.6312743122416472
714474.7,4336.208,391.94293,0.2496844037228967,0.6313640387762013
715370.1,3237.3237,392.08813,0.25219628399972516,0.6343145994613794
717895.06,4768.7686,393.13675,0.2701327135216358,0.6372957840251023
714337.3,3162.5188,391.9139,0.2560112634839218,0.6337467678197198
714181.4,3179.938,391.54,0.25007722733099014,0.6329415149603732
715769.25,3089.7412,392.4072,0.24297782397216716,0.6325966459432647
714938.75,3139.0625,392.30988,0.28992053633703563,0.642353724315428
716589.75,3218.698,392.60037,0.2597885175343464,0.6342560513874717
715300.56,3314.4321,391.91418,0.23786406515759762,0.6299378988134003
715288.25,3847.2703,392.01486,0.23990821582464505,0.6297334521954866
714719.0,3309.9888,391.6564,0.2574424590471307,0.631846159240786
716396.2,3565.3704,392.426,0.26647759402342697,0.6375249509524684
721952.1,9390.896,398.42108,6.142242876088995,1.012117941678745
737542.4,11903.083,411.46445,20.75824971460355,1.8391027308437335
712789.1,3419.4353,391.15045,0.2475273476732358,0.6308629510354584
714630.8,3238.0515,391.78564,0.2525724785605159,0.6329635314905869
716416.75,3210.506,392.74072,0.2644533600617214,0.6367594587242433
712401.06,3894.1006,391.66605,0.2750765124671397,0.6400012292493499
710297.4,3082.8,390.65997,0.23610203931705742,0.6301990823160848
715890.4,3319.451,392.07285,0.24731915140976835,0.6321266512533725
713037.3,3409.5352,390.91367,0.24884103597252327,0.6301205524714745
717111.3,3574.708,392.288,0.2486412957430253,0.6320961481393321
707807.7,3643.2173,389.52783,0.25487855220115607,0.630370857501482
707649.6,3045.2627,389.56802,0.24605815221196892,0.6313607135596195
707651.94,3279.2292,389.28757,0.22116594304434756,0.6239193923738121
706628.44,3809.4275,389.1506,0.2411258569526038,0.6288364179671533
706880.6,3132.9446,389.0032,0.22499606754503487,0.6252425562385981
707924.1,3006.3945,389.30853,0.23080407935407532,0.6258599506043722
707146.75,3235.4353,389.76932,0.24156657044526275,0.6309563494925107
707945.5,3244.1611,389.88614,0.2334263251586619,0.6287541024162998
709032.0,3352.3438,389.72556,0.24328295604308048,0.6284024008937713
707523.3,4204.669,390.00317,0.2545359425437894,0.6324066973827002
707679.7,4114.829,389.43222,0.24220151299737802,0.6280808081189243
708135.0,3306.3289,389.7061,0.23654803695900695,0.6294021071877658
708048.9,3524.8462,389.64807,0.2397662342843856,0.6301999887057009
