Potencia,Maximo,DesvioPadrao,FFT_Peak,FFT_Mean,Classe
0.99999964,3.6853037,0.46298316,168.62657,38.247364,0
1.0000002,3.892885,0.46310946,167.61742,38.577347,0
1.0000001,3.9143355,0.4632877,165.75035,38.562397,0
1.0000004,4.021458,0.46314275,163.5451,38.0599,0
0.9999999,3.7580388,0.4629717,173.79434,37.159386,0
0.9999999,4.054103,0.4631789,175.48328,38.37401,0
1.0,3.7096395,0.4635272,163.12688,38.99958,0
0.9999999,4.0942497,0.46295354,167.4594,38.257862,0
1.0000005,4.1097994,0.4634681,171.38617,38.333252,0
0.9999999,4.1447515,0.463169,162.01192,37.61547,0
1.0000001,3.7732868,0.46283188,146.8428,38.47646,0
0.99999994,3.9517434,0.4629498,143.22632,38.116375,0
1.0000004,3.8202074,0.46310106,156.12827,38.609726,0
0.9999997,3.7810287,0.46293384,149.0941,38.35123,0
0.99999994,3.8330905,0.46364912,143.3671,38.021156,0
0.9999999,3.678772,0.46304035,176.67743,38.271614,0
1.0000002,3.7013924,0.46365422,180.1927,38.593037,0
1.0000001,4.065542,0.46369636,244.3481,38.504192,0
1.0000004,3.5543623,0.4630095,187.85068,37.996887,0
0.99999994,3.5311153,0.46370155,152.19487,38.164867,0
0.99999976,4.036697,0.46277824,151.93085,37.893,0
1.0000001,3.9852192,0.46283185,161.93756,38.026882,0
0.99999976,4.243551,0.46311557,195.79959,38.880276,0
0.99999994,3.9032857,0.4632963,168.11383,37.48998,0
1.0000004,4.402452,0.4633126,165.59785,37.917774,0
1.0000002,4.2574615,0.4634268,190.51717,39.068455,0
1.0000004,3.8690286,0.4633383,152.9645,37.833187,0
1.0000001,3.793848,0.46312723,151.33781,37.862198,0
0.9999998,3.6456757,0.46317953,144.25027,37.666267,0
1.0000002,3.8821416,0.4625643,144.83331,37.755768,0
1.0000004,3.6192966,0.46275467,151.42892,38.614124,0
1.0000004,3.734941,0.46333674,159.71625,38.262993,0
0.9999999,3.696618,0.4639699,138.2945,38.40867,0
0.99999994,3.7054408,0.4630618,150.86304,37.34368,0
1.0000002,3.800433,0.4628377,160.27374,37.856087,0
0.99999976,4.205358,0.4630413,155.8649,38.12623,0
1.0,3.8215778,0.4629024,238.44702,38.20758,0
0.99999946,3.8179247,0.46292996,174.26079,37.97475,0
1.0,3.7385902,0.4626504,200.50275,38.561714,0
1.0000001,5.015534,0.46307984,231.52705,38.527073,0
1.0000002,3.8408325,0.46295443,166.41185,38.43828,0
1.0000002,3.836878,0.4633772,158.55826,37.823032,0
1.0000002,3.7779474,0.46336105,167.23308,38.15108,0
1.0000002,4.1366773,0.46389294,188.52814,37.694523,0
0.99999976,3.7626781,0.46297053,180.31334,38.404827,0
1.0000001,4.1272793,0.4634919,169.79129,38.038883,0
0.99999994,4.2770896,0.4639639,161.39145,38.17421,0
1.0000001,3.8569164,0.46356446,197.80898,39.18131,0
1.0,3.9301438,0.46372998,164.8679,37.761383,0
1.0000002,3.8913298,0.46365464,214.23384,38.63849,0
1.0000001,4.280356,0.46345788,151.7444,37.58965,0
1.0,4.0436363,0.4635854,162.62451,38.007572,0
1.0,4.19838,0.4634065,188.95766,38.0159,0
0.99999994,3.845851,0.4634849,153.10411,37.423977,0
1.0,3.7905357,0.46366027,186.36409,38.438393,0
1.0000006,3.6955523,0.46346045,170.572,38.52961,0
0.9999998,3.6114073,0.46332875,163.88242,38.646336,0
0.9999999,3.585303,0.46347478,163.4407,38.21545,0
1.0000004,3.6985383,0.46388745,156.90839,37.968544,0
1.0,3.954774,0.4629922,180.97855,37.989788,0
1.0000001,3.7482426,0.4632562,164.70842,38.042103,0
1.0000006,5.8781586,0.46414593,151.29297,37.75066,0
1.0000001,4.08789,0.46396416,164.82973,37.79163,0
1.0000001,3.627989,0.4633783,150.31447,37.996292,0
1.0,3.752582,0.4629772,181.9469,37.89287,0
1.0000004,4.0187407,0.46353763,170.8384,39.411976,0
1.0000001,3.5725403,0.46367785,183.83736,38.69247,0
0.99999994,3.6882505,0.4633218,131.62944,38.542202,0
1.0,3.9294374,0.46393615,191.57616,38.20206,0
1.0000002,3.9565494,0.46393535,155.71272,37.86453,0
1.0,6.492682,0.46373814,155.01051,38.051167,0
0.9999996,4.032219,0.4630976,173.08177,37.062836,0
1.0000001,3.9973905,0.46336618,146.39558,38.077534,0
1.0000004,3.997128,0.4639748,183.68242,38.046,0
1.0000001,4.5483317,0.46369773,180.76596,38.245224,0
0.99999994,3.992126,0.46291694,150.18744,38.216835,0
0.9999998,4.004513,0.46361116,151.95767,37.80438,0
1.0,4.033172,0.46401888,170.94386,38.68464,0
0.9999998,3.7518835,0.4633951,134.42567,38.15809,0
1.0,4.713431,0.46392956,156.74583,37.239212,0
1.0,6.064452,0.4637001,176.79752,38.37371,0
1.0000001,6.196674,0.4643201,171.8077,38.30429,0
1.0000002,3.9206514,0.463177,151.6866,38.40327,0
0.9999998,3.8272243,0.4640072,159.38028,38.016,0
